FileName,Leaf#,Total Leaf Size (cm2),Leaf Full Size (cm2) ,Leaf Empty Size (cm2),Leaf Height,Leaf Width,,WinFOLIA Reg 2016b,LeafArea [cm²],TotHolesArea [cm²],VertLength [cm],HorizWidth [cm],,,DIFFERENCES,LeafArea [cm²],TotHolesArea [cm²],VertLength [cm],HorizWidth [cm]
S06-1576-lf-02_ed,2,122.1924555,120.2221929,1.970262593,20.47790055,8.991210938,,S06-1576-lf-02,120.1358,1.7984,20.5232,8.9239,,,,0.086392922,0.171862593,-0.045299448,0.067310938
S06-1576-lf-02_ed,3,217.5575396,214.9958617,2.56167788,29.90469613,11.1375,,S06-1576-lf-02,214.9573,2.5503,29.9381,11.1506,,,,0.038561749,0.01137788,-0.033403867,-0.0131
S19-1039-lf-02_ed,1,39.5247127,39.5247127,0,16.12707182,6.757910156,,S19-1039-lf-02,39.532,0.0001,16.1713,6.7903,,,,-0.007287304,-0.0001,-0.044228177,-0.032389844
S19-1039-lf-02_ed,2,23.01724361,22.96508465,0.052158958,8.933701657,7.221972656,,S19-1039-lf-02,22.3848,0.0347,8.9831,5.3425,,,,0.580284653,0.017458958,-0.049398343,1.879472656
S19-1039-lf-02_ed,3,33.82256075,33.67786171,0.144699046,15.54696133,7.105957031,,S19-1039-lf-02,33.6877,0.1512,15.5702,7.112,,,,-0.009838294,-0.006500954,-0.023238674,-0.006042969
S19-1039-lf-02_ed,4,24.41123384,24.41123384,0,9.832872928,5.249707031,,S19-1039-lf-02,24.4197,0.0006,9.8721,5.2493,,,,-0.008466159,-0.0006,-0.039227072,0.000407031
S19-1039-lf-02_ed,5,34.65373899,34.29199138,0.361747615,14.44475138,7.076953125,,S19-1039-lf-02,34.3034,0.3705,14.5034,6.6717,,,,-0.011408622,-0.008752385,-0.058648619,0.405253125
S23-0744-lf-02_ed,1,161.5960248,160.5183534,1.077671384,22.45027624,11.28251953,,S23-0744-lf-02,160.7749,3.4838,22.4959,11.2776,,,,-0.25654656,-2.406128616,-0.045623757,0.004919531
S23-0744-lf-02_ed,2,150.3162294,150.1134825,0.202746919,21.5801105,11.6015625,,S23-0744-lf-02,150.506,9.8727,21.6831,11.6078,,,,-0.392517503,-9.669953081,-0.102989503,-0.0062375
S23-0744-lf-02_ed,3,154.0262457,153.6283233,0.397922377,22.88535912,11.48554688,,S23-0744-lf-02,154.3347,11.675,22.9362,11.5147,,,,-0.70637672,-11.27707762,-0.050840884,-0.029153125
S23-0744-lf-02_ed,4,76.36492158,76.21012725,0.154794328,17.40331492,7.512011719,,S23-0744-lf-02,77.0474,24.1714,17.5175,7.9925,,,,-0.83727275,-24.01660567,-0.114185083,-0.480488281
S25-1708-lf-04_ed,1,137.5103638,137.1536639,0.356699974,29.61464088,19.40361328,,S25-1708-lf-04,136.6819,1.9768,29.8789,18.3727,,,,0.471763863,-1.620100026,-0.264259116,1.030913281
S25-1708-lf-04_ed,2,95.48538623,94.98398721,0.50139902,13.51657459,14.47294922,,S25-1708-lf-04,94.8122,0.5219,13.5636,14.0462,,,,0.171787208,-0.02050098,-0.047025414,0.426749219
S25-1708-lf-04_ed,3,59.40905371,59.40905371,0,18.62154696,11.94960938,,S25-1708-lf-04,59.2542,0.0192,18.6775,10.2193,,,,0.154853706,-0.0192,-0.055953039,1.730309375
S25-1736-lf-02_ed,1,32.22077596,32.22077596,0,11.05110497,5.423730469,,S25-1736-lf-02,32.2491,5.8327,11.0913,5.3594,,,,-0.028324037,-5.8327,-0.040195028,0.064330469
S25-1736-lf-02_ed,2,33.73927467,29.64311389,4.096160788,10.7320442,4.350585938,,S25-1736-lf-02,29.5686,4.1625,10.7781,4.3095,,,,0.074513886,-0.066339212,-0.046055801,0.041085938
S25-1736-lf-02_ed,3,26.60611646,24.53153595,2.07458051,10.2679558,4.553613281,,S25-1736-lf-02,24.4365,2.143,10.2955,4.6059,,,,0.095035955,-0.06841949,-0.027544199,-0.052286719
S25-1736-lf-02_ed,4,80.13550951,79.53568149,0.599828022,19.14364641,7.366992188,,S25-1736-lf-02,79.8928,23.4319,19.3294,7.4845,,,,-0.35711851,-22.83207198,-0.185753591,-0.117507813
S25-1736-lf-02_ed,5,18.53577955,18.27077839,0.26500116,10.20994475,3.422460938,,S25-1736-lf-02,18.2461,1.8447,10.2701,3.4205,,,,0.02467839,-1.57969884,-0.060155249,0.001960937
,,,,,,,,,,,,,,,,0.01952362,-2.133158765,-0.067612995,0.191315438
